,U,V
1505,1932,1208.0
1506,81,1562.0
1507,1822,691.0
1508,1149,31.0
1509,279,27.0
1510,1056,1031.0
1511,636,842.0
1512,773,612.0
1513,1736,1645.0
1514,595,1197.0
1515,1581,1252.0
1516,774,363.0
1517,876,1723.0
1518,1023,957.0
1519,580,1037.0
1520,254,1734.0
1521,1847,444.0
1522,270,1090.0
1523,1214,1957.0
1524,1556,675.0
1525,1544,837.0
1526,1060,1762.0
1527,1298,598.0
1528,547,27.0
1529,823,1858.0
1530,349,1826.0
1531,1114,1710.0
1532,1104,1929.0
1533,1887,1907.0
1534,856,1956.0
1535,759,1967.0
1536,1364,610.0
1537,1660,923.0
1538,1863,1037.0
1539,570,1763.0
1540,674,1691.0
1541,822,970.0
1542,1442,1172.0
1543,1223,722.0
1544,437,1231.0
1545,1783,1524.0
1546,523,1683.0
1547,306,413.0
1548,37,31.0
1549,413,1117.0
1550,422,1143.0
1551,1414,1913.0
1552,1083,363.0
1553,1176,1557.0
1554,1706,15.0
1555,654,1578.0
1556,1947,614.0
1557,986,194.0
1558,93,211.0
1559,1181,1894.0
1560,537,520.0
1561,99,405.0
1562,1716,579.0
1563,811,29.0
1564,801,1753.0
1565,615,1346.0
1566,1419,1638.0
1567,574,952.0
1568,283,1205.0
1569,1571,958.0
1570,1719,385.0
1571,520,1294.0
1572,98,1828.0
1573,634,1056.0
1574,1035,815.0
1575,1187,747.0
1576,1364,430.0
1577,1992,827.0
1578,1855,1397.0
1579,883,344.0
1580,1695,1821.0
1581,1149,1666.0
1582,1333,542.0
1583,899,1937.0
1584,106,720.0
1585,753,335.0
1586,1093,1271.0
1587,1761,1608.0
1588,183,1000.0
1589,719,507.0
1590,757,1669.0
1591,378,1082.0
1592,694,1567.0
1593,835,1575.0
1594,267,1705.0
1595,923,1765.0
1596,371,931.0
1597,1558,539.0
1598,49,924.0
1599,1470,176.0
1600,472,1499.0
1601,979,670.0
1602,1799,500.0
1603,1470,1398.0
1604,1723,178.0
1605,1291,633.0
1606,1384,115.0
1607,1291,1737.0
1608,1991,1284.0
1609,1153,201.0
1610,216,353.0
1611,962,1800.0
1612,780,1737.0
1613,1665,636.0
1614,854,198.0
1615,1199,768.0
1616,395,293.0
1617,1146,246.0
1618,123,92.0
1619,557,552.0
1620,1713,1472.0
1621,1449,1496.0
1622,1575,449.0
1623,1880,330.0
1624,1467,468.0
1625,1861,43.0
1626,1199,1805.0
1627,814,1816.0
1628,1048,275.0
1629,1584,964.0
1630,751,1712.0
1631,324,
