,M,N,O,P
993,821,1447,897,152.0
994,284,1318,964,1917.0
995,1650,331,1521,912.0
996,1839,570,160,168.0
997,897,183,1586,1344.0
998,1919,1515,641,701.0
999,1119,1690,94,1078.0
1000,886,1365,1454,918.0
1001,1025,1363,1494,38.0
1002,534,80,1678,351.0
1003,1173,1338,477,1708.0
1004,73,1194,1153,1508.0
1005,580,1909,1525,12.0
1006,1845,599,264,1691.0
1007,1068,1826,1705,832.0
1008,719,311,1578,1259.0
1009,366,1585,1344,470.0
1010,295,600,876,523.0
1011,1860,1337,535,617.0
1012,416,1441,1263,503.0
1013,1572,260,600,782.0
1014,1214,375,64,1244.0
1015,265,181,572,453.0
1016,272,695,351,1738.0
1017,1557,1466,1354,63.0
1018,838,478,1341,1172.0
1019,1807,1402,1101,1328.0
1020,927,1599,653,438.0
1021,1064,956,1080,262.0
1022,687,942,1685,
